participant_id	age	sex	handedness
sub-001	8.36	M	L
sub-002	9.23	F	R
sub-003	10.68	F	R
sub-004	9.93	F	R
sub-005	11.98	M	R
sub-006	8.9	F	R
sub-007	10.32	F	R
sub-008	13.14	F	R
sub-009	8.47	F	R
sub-010	10.62	M	R
sub-011	9.45	F	R
sub-012	12.68	M	R
sub-013	13.65	F	R
sub-014	12.18	M	R
sub-015	11.98	M	R
sub-016	12.82	F	R
sub-017	9.45	F	R
sub-018	12.18	F	R
sub-019	11.3	M	R
sub-020	10.98	M	R
sub-021	10.08	F	R
sub-022	12.59	M	R
sub-023	11.38	M	R
sub-024	9.96	F	R
sub-025	11.99	M	R
sub-026	10.92	F	R
sub-027	10.09	F	R
sub-028	11.64	F	R
sub-029	9.89	M	R
sub-030	11.39	F	R
sub-031	11.52	F	R
sub-032	9.22	M	R
sub-033	11.77	F	R
sub-034	9.97	F	R
sub-035	10.94	M	R
sub-036	10.12	M	R
sub-037	12.51	M	R
sub-038	13.88	M	R
sub-039	13.4	F	R
sub-040	12.73	M	R
sub-041	9.23	F	R
sub-042	10.41	F	R
sub-043	13.56	M	R
sub-044	11.49	F	R
sub-045	9.78	F	R
sub-046	12.42	M	R
sub-047	10.44	F	R
sub-048	10.6	M	R
sub-049	10.97	F	R
sub-050	9.43	F	R
sub-051	11.97	F	R
sub-052	12.45	F	R
sub-053	12.66	F	R
sub-054	14.09	M	R
sub-055	11.09	M	R
sub-056	10.14	F	R
sub-057	9.54	M	R
sub-058	10.29	M	R
sub-059	12.91	M	R
sub-060	10.92	M	R
sub-061	11.25	M	R
sub-062	15	M	R
sub-063	11	M	R
sub-064	9.01	F	R
sub-065	10.13	M	R
sub-066	9.43	F	R
sub-067	14.04	F	R
sub-068	12.8	F	R
sub-069	13.21	F	R
sub-070	13.02	F	R
sub-071	8.64	M	R
sub-072	13.79	M	R
sub-073	9.97	F	R
sub-074	12.33	F	R
sub-075	14.06	F	R
sub-076	11.15	M	R
sub-077	9.94	F	R
sub-078	12.19	F	R
sub-079	12.59	M	R
sub-080	9.34	F	R
sub-081	11.18	M	R
sub-082	11.55	M	R
sub-083	11.58	F	R
sub-084	10.33	F	R
sub-085	9.91	F	R
sub-086	12.77	M	R
sub-087	13.43	M	R
sub-088	9.9	F	R
sub-089	10.07	F	R
sub-090	12.81	M	R
sub-091	13.25	F	R
sub-092	10.57	M	R
sub-093	9.95	M	R
sub-094	13.02	M	R
sub-095	11.33	M	R
sub-096	10.9	F	R
sub-097	10.6	M	R
sub-098	9.37	F	R
sub-099	10.18	F	R
sub-100	9.96	F	R
sub-101	12.24	F	R
sub-102	10.4	F	R
sub-103	10.09	F	R
sub-104	12.16	F	R
sub-105	10.64	F	R
sub-106	12.22	M	R
sub-107	10.67	M	R
sub-108	10.39	M	R
sub-109	12.45	M	R
sub-110	10.7	M	R
sub-111	9.33	M	R
sub-112	11.27	M	R
sub-113	11.15	M	R
sub-114	11.75	M	R
sub-115	13.04	M	R
sub-116	11.54	F	R
sub-117	13	F	R
sub-118	13.34	M	R
sub-119	11.6	M	R
sub-120	12.36	F	R
sub-121	10.61	M	R
sub-122	9.1	F	R
sub-123	12.35	M	R
sub-124	9.59	F	R
sub-125	9.64	F	R
sub-126	10.73	M	R
sub-127	13.11	F	R
sub-128	8.64	M	R
sub-129	13.54	M	R
sub-130	11.35	F	R
sub-131	10.88	F	R
sub-132	12.16	F	R
