MR_ID	age	sex	handedness
BMB_3001_baseline	25	M	R
BMB_3002_baseline	23	F	R
BMB_3004_baseline	31	M	R
BMB_3006_baseline	23	F	R
BMB_3007_baseline	43	M	R
BMB_3008_baseline	26	F	R
BMB_3009_baseline	33	M	R
BMB_3010_baseline	27	F	R
BMB_3011_baseline	24	F	R
BMB_3012_baseline	33	M	R
BMB_3013_baseline	26	F	R
BMB_3014_baseline	28	M	R
BMB_3015_baseline	26	F	R
BMB_3016_baseline	28	M	R
BMB_3017_baseline	26	M	R
BMB_3018_baseline	26	F	R
BMB_3020_baseline	31	M	R
BMB_3021_baseline	37	F	R
BMB_3022_baseline	38	M	R
BMB_3023_baseline	32	F	R
BMB_3024_baseline	39	M	R
BMB_3025_baseline	28	F	R
BMB_3026_baseline	29	F	R
BMB_3032_baseline	33	F	R
BMB_3033_baseline	32	M	R
BMB_3034_baseline	31	F	R
BMB_3036_baseline	30	F	R
BMB_3037_baseline	59	F	R
BMB_3038_baseline	34	M	R
BMB_3039_baseline	22	F	R
BMB_3040_baseline	36	M	L
BMB_3041_baseline	23	F	R
BMB_3042_baseline	35	M	R
BMB_3044_baseline	30	M	R
BMB_3045_baseline	42	F	R
BMB_3047_baseline	32	M	R
BMB_3049_baseline	30	M	R
BMB_3050_baseline	49	F	R
BMB_3051_baseline	23	M	R
BMB_3052_baseline	28	F	R
BMB_3054_baseline	27	M	R
BMB_3055_baseline	29	M	R
BMB_3056_baseline	29	M	R
BMB_3057_baseline	19	M	R
BMB_3059_baseline	30	F	R
BMB_3060_baseline	30	F	L
BMB_3061_baseline	24	F	R
BMB_3062_baseline	27	M	R
BMB_3063_baseline	22	F	R
BMB_3064_baseline	28	F	R
BNU_25864_baseline	22	M	n/a
BNU_25864_retest_1	n/a	M	n/a
BNU_25865_baseline	24	M	n/a
BNU_25865_retest_1	n/a	M	n/a
BNU_25866_baseline	27	M	n/a
BNU_25866_retest_1	n/a	M	n/a
BNU_25867_baseline	22	M	n/a
BNU_25867_retest_1	n/a	M	n/a
BNU_25868_baseline	27	M	n/a
BNU_25868_retest_1	n/a	M	n/a
BNU_25869_baseline	22	F	n/a
BNU_25869_retest_1	n/a	F	n/a
BNU_25870_baseline	23	M	n/a
BNU_25870_retest_1	n/a	M	n/a
BNU_25871_baseline	22	M	n/a
BNU_25871_retest_1	n/a	M	n/a
BNU_25872_baseline	22	M	n/a
BNU_25872_retest_1	n/a	M	n/a
BNU_25873_baseline	26	F	n/a
BNU_25873_retest_1	n/a	F	n/a
BNU_25874_baseline	24	F	n/a
BNU_25874_retest_1	n/a	F	n/a
BNU_25875_baseline	30	F	n/a
BNU_25875_retest_1	n/a	F	n/a
BNU_25876_baseline	25	M	n/a
BNU_25876_retest_1	n/a	M	n/a
BNU_25877_baseline	20	M	n/a
BNU_25877_retest_1	n/a	M	n/a
BNU_25878_baseline	23	M	n/a
BNU_25878_retest_1	n/a	M	n/a
BNU_25879_baseline	23	M	n/a
BNU_25879_retest_1	n/a	M	n/a
BNU_25880_baseline	24	M	n/a
BNU_25880_retest_1	n/a	M	n/a
BNU_25881_baseline	21	M	n/a
BNU_25881_retest_1	n/a	M	n/a
BNU_25882_baseline	22	F	n/a
BNU_25882_retest_1	n/a	F	n/a
BNU_25883_baseline	21	M	n/a
BNU_25883_retest_1	n/a	M	n/a
BNU_25884_baseline	24	M	n/a
BNU_25884_retest_1	n/a	M	n/a
BNU_25885_baseline	22	F	n/a
BNU_25885_retest_1	n/a	F	n/a
BNU_25886_baseline	24	F	n/a
BNU_25886_retest_1	n/a	F	n/a
BNU_25887_baseline	27	M	n/a
BNU_25887_retest_1	n/a	M	n/a
BNU_25888_baseline	25	M	n/a
BNU_25888_retest_1	n/a	M	n/a
BNU_25889_baseline	26	F	n/a
BNU_25889_retest_1	n/a	F	n/a
BNU_25890_baseline	21	M	n/a
BNU_25890_retest_1	n/a	M	n/a
BNU_25891_baseline	19	F	n/a
BNU_25891_retest_1	n/a	F	n/a
BNU_25892_baseline	23	F	n/a
BNU_25892_retest_1	n/a	F	n/a
BNU_25893_baseline	26	M	n/a
BNU_25893_retest_1	n/a	M	n/a
BNU_25894_baseline	21	F	n/a
BNU_25894_retest_1	n/a	F	n/a
BNU_25895_baseline	24	M	n/a
BNU_25895_retest_1	n/a	M	n/a
BNU_25896_baseline	21	F	n/a
BNU_25896_retest_1	n/a	F	n/a
BNU_25897_baseline	23	F	n/a
BNU_25897_retest_1	n/a	F	n/a
BNU_25898_baseline	22	F	n/a
BNU_25898_retest_1	n/a	F	n/a
BNU_25899_baseline	21	M	n/a
BNU_25899_retest_1	n/a	M	n/a
BNU_25900_baseline	20	F	n/a
BNU_25900_retest_1	n/a	F	n/a
BNU_25901_baseline	22	F	n/a
BNU_25901_retest_1	n/a	F	n/a
BNU_25902_baseline	22	F	n/a
BNU_25902_retest_1	n/a	F	n/a
BNU_25903_baseline	22	F	n/a
