participant_id	age	sex
sub-child01	10	F
sub-child02	10	M
sub-child03	10	F
sub-child04	10	M
sub-child05	10	F
sub-child06	10	F
sub-child07	10	M
sub-child08	10	M
sub-child09	11	M
sub-child10	11	M
sub-child11	11	F
sub-child12	11	F
sub-child13	11	M
sub-child14	11	M
sub-child15	11	F
sub-child16	12	M
sub-child17	12	M
sub-child18	12	F
sub-child19	12	F
sub-child20	12	M
sub-child21	12	M
sub-teen01	14	F
sub-teen02	14	M
sub-teen03	14	M
sub-teen04	14	M
sub-teen05	15	M
sub-teen06	15	F
sub-teen07	15	F
sub-teen08	15	M
sub-teen09	15	M
sub-teen10	15	F
sub-teen11	15	F
sub-teen12	16	F
sub-teen13	16	F
sub-teen14	16	F
sub-teen15	16	M
sub-teen16	16	F
sub-teen17	16	M
sub-teen18	16	F
sub-teen19	16	F
sub-teen20	16	M
sub-adult01	30	M
sub-adult02	26	F
sub-adult03	22	F
sub-adult04	32	M
sub-adult05	28	F
sub-adult06	28	F
sub-adult07	27	M
sub-adult08	27	M
sub-adult09	24	M
sub-adult10	28	F
sub-adult11	30	M
sub-adult12	22	M
sub-adult13	23	F
sub-adult14	32	M
sub-adult15	21	M
sub-adult16	21	F
sub-adult17	31	F
sub-adult18	24	M
sub-adult19	28	F
sub-adult20	34	F
sub-adult21	24	F
