participant_id	age	sex
sub-1	25	F
sub-2	25	F
sub-3	22	F
sub-4	25	M
sub-5	20	M
sub-6	18	F
sub-7	21	M
sub-8	19	M
sub-9	18	F
sub-10	19	F
sub-11	28	F
sub-12	20	F
sub-13	18	F
sub-14	22	F
sub-15	18	M
sub-16	20	M
sub-17	20	M
sub-18	20	F
sub-19	20	F
sub-20	23	F
sub-21	20	F
sub-22	19	F
sub-23	20	F
sub-24	20	F
sub-25	22	F
sub-26	23	F
sub-27	19	M
sub-28	22	M
sub-29	29	F
sub-30	24	M
sub-31	20	F
sub-32	18	F
sub-33	18	M
sub-34	20	F
sub-35	19	F
sub-36	19	F
sub-37	24	M
sub-38	22	M
sub-39	21	M
sub-40	32	M
sub-41	28	M
sub-42	21	M
sub-43	19	M
sub-44	18	M
sub-45	29	M
sub-46	18	M
sub-47	21	M
sub-48	22	M
sub-49	24	M
sub-50	19	M
