participant_id	age	sex
sub-1	24	F
sub-2	21	F
sub-3	19	F
sub-7	28	M
sub-8	18	F
sub-11	18	F
sub-12	20	F
sub-13	19	M
sub-14	20	O
sub-15	23	F
sub-16	23	M
sub-17	20	F
sub-18	19	F
sub-19	19	F
sub-20	20	F
sub-21	22	F
sub-22	19	F
sub-23	18	F
sub-24	18	F
sub-25	18	F
sub-26	20	F
sub-28	20	F
sub-29	19	M
sub-30	20	F
sub-31	18	F
sub-32	19	F
sub-33	18	F
sub-34	19	F
sub-35	18	F
sub-36	18	F
sub-37	18	M
sub-38	19	M
sub-39	20	F
sub-41	18	M
sub-42	19	M
sub-43	20	F
sub-44	18	F
sub-45	19	F
sub-46	22	M
sub-47	23	M
sub-48	19	F
sub-49	19	M
sub-50	19	F
sub-51	19	M
sub-52	19	M
sub-54	21	M
sub-55	21	M
sub-56	18	M
sub-57	18	F
sub-58	19	M
sub-60	27	M
sub-61	18	M
sub-62	20	F
sub-63	18	F
sub-64	18	F
sub-65	19	F
sub-66	20	M
sub-67	19	F
sub-68	27	M
sub-69	18	F
sub-70	20	M
sub-71	19	M
