ID	age	sex	handedness
AnnArbor_sub00306	68	F	n/a
AnnArbor_sub04111	25	M	R
AnnArbor_sub04619	18	M	R
AnnArbor_sub05580	77	F	n/a
AnnArbor_sub07921	19	F	n/a
AnnArbor_sub11043	21	F	n/a
AnnArbor_sub13636	29	M	R
AnnArbor_sub13959	31	M	R
AnnArbor_sub15846	70	F	n/a
AnnArbor_sub16960	13	M	R
AnnArbor_sub18546	20	M	n/a
AnnArbor_sub18698	29	M	R
AnnArbor_sub20317	15	M	R
AnnArbor_sub26099	73	M	n/a
AnnArbor_sub28433	21	M	R
AnnArbor_sub30250	19	F	n/a
AnnArbor_sub30421	17	M	R
AnnArbor_sub31218	n/a	M	n/a
AnnArbor_sub33437	19	F	n/a
AnnArbor_sub34781	19	M	R
AnnArbor_sub38614	14	M	R
AnnArbor_sub39635	19	F	n/a
AnnArbor_sub39923	70	M	n/a
AnnArbor_sub42616	21	F	n/a
AnnArbor_sub43409	71	M	n/a
AnnArbor_sub45569	63	F	n/a
AnnArbor_sub45660	16	M	R
AnnArbor_sub46727	13	F	R
AnnArbor_sub47191	27	M	L
AnnArbor_sub47659	33	M	R
AnnArbor_sub49687	13	M	L
AnnArbor_sub50859	79	F	n/a
AnnArbor_sub51248	40	M	R
AnnArbor_sub53269	21	M	n/a
AnnArbor_sub53959	20	M	n/a
AnnArbor_sub56028	26	F	R
AnnArbor_sub56686	20	F	R
AnnArbor_sub57025	68	F	n/a
AnnArbor_sub57196	77	F	n/a
AnnArbor_sub59573	19	F	n/a
AnnArbor_sub62819	65	M	n/a
AnnArbor_sub64831	19	M	n/a
AnnArbor_sub64969	21	F	n/a
AnnArbor_sub66506	78	F	n/a
AnnArbor_sub70106	17	M	R
AnnArbor_sub72215	20	M	n/a
AnnArbor_sub72416	80	M	n/a
AnnArbor_sub73168	78	M	n/a
AnnArbor_sub73812	28	M	n/a
AnnArbor_sub75922	18	M	R
AnnArbor_sub78151	23	M	n/a
