participant_id	age	sex
sub-01	53	M
sub-02	66	F
sub-03	54	F
sub-04	57	M
sub-05	59	F
sub-06	65	M
sub-07	69	M
sub-08	70	M
sub-09	56	M
sub-10	56	F
sub-11	49	F
sub-12	50	F
sub-13	67	F
sub-14	63	F
sub-15	78	F
sub-16	56	M
sub-17	56	F
sub-18	67	F
sub-19	55	F
sub-20	64	F
sub-21	52	F
sub-22	68	F
sub-23	54	M
sub-24	59	M
sub-25	53	F
sub-26	56	M
sub-27	59	F
sub-28	67	F
sub-29	59	F
sub-30	49	F
sub-31	61	M
sub-32	73	M
sub-33	74	M
sub-34	61	F
sub-35	49	F
sub-36	77	F
sub-37	74	M
sub-38	58	M
sub-39	67	M
sub-40	55	M
sub-41	68	M
sub-42	59	F
sub-43	64	M
sub-44	70	F
sub-45	67	F
sub-46	60	M
sub-47	75	M
sub-48	57	M
sub-49	71	F
sub-50	71	F
sub-51	69	M
sub-52	62	M
sub-53	53	M
sub-54	68	M
sub-55	70	M
sub-56	75	M
sub-57	67	F
sub-58	68	M
sub-59	56	M
sub-60	59	M
sub-61	62	F
sub-62	68	M
sub-63	62	M
sub-64	53	F
sub-65	68	M
sub-66	61	F
sub-67	77	F
sub-68	64	M
sub-69	49	M
sub-70	61	M
sub-71	69	M
sub-72	70	F
sub-73	61	M
sub-74	51	M
sub-75	67	M
sub-76	61	M
sub-77	65	M
sub-78	52	M
sub-79	47	F
sub-80	68	M
sub-81	50	F
sub-82	67	M
