participant_id	sex	handedness
sub-5001	F	R
sub-5002	M	R
sub-5003	M	R
sub-5004	M	R
sub-5005	M	R
sub-5006	M	R
sub-5007	M	R
sub-5008	M	L
sub-5009	M	R
sub-5010	M	R
sub-5011	F	R
sub-5012	M	R
sub-5013	M	R
sub-5014	F	R
sub-5015	M	R
sub-5016	M	R
sub-5017	M	R
sub-5018	M	R
sub-5019	M	R
sub-5020	M	R
sub-5021	M	R
sub-5022	M	R
sub-5023	F	R
sub-5024	F	R
sub-5025	M	R
sub-5026	M	R
sub-5027	F	R
sub-5028	F	L
sub-5029	F	R
sub-5030	F	R
sub-5031	F	R
sub-5032	F	R
sub-5033	F	R
sub-5034	F	R
sub-5035	F	R
sub-5036	F	R
sub-5037	F	R
sub-5038	F	R
sub-5039	F	R
sub-5040	F	R
sub-5041	F	R
sub-5042	M	R
sub-5043	F	L
sub-5044	M	R
sub-5045	F	R
sub-5046	F	R
sub-5047	M	R
sub-5048	F	R
sub-5049	F	R
sub-5050	M	R
sub-5051	M	R
sub-5052	M	R
sub-5053	M	R
sub-5054	F	R
sub-5055	M	R
sub-5056	M	R
sub-5057	F	L
sub-5058	M	R
sub-5059	M	R
sub-5060	F	R
sub-5061	F	R
sub-5062	F	R
sub-5063	F	R
sub-6001	F	R
sub-6002	M	R
sub-6003	F	R
sub-6004	M	R
sub-6005	M	R
sub-6006	M	R
sub-6007	F	R
sub-6008	M	R
sub-6009	F	R
sub-6010	F	R
sub-6011	M	R
sub-6012	M	R
sub-6013	M	R
sub-6014	M	R
sub-6015	M	R
sub-6016	M	R
sub-6017	M	R
sub-6018	M	R
sub-6019	M	R
sub-6020	F	R
sub-6021	M	R
sub-6022	F	R
sub-6023	F	R
sub-6024	F	R
sub-6025	F	R
sub-6026	F	R
sub-6027	F	R
sub-6028	F	R
sub-6029	F	R
sub-6030	F	R
sub-6031	F	R
sub-6032	F	R
sub-6033	F	R
sub-6034	F	R
sub-6035	F	R
sub-6036	F	R
sub-6037	F	R
sub-6038	M	R
sub-6039	M	R
sub-6040	F	R
sub-6041	M	R
sub-6042	F	R
sub-6043	M	R
sub-6044	M	R
sub-6045	M	L
sub-6046	F	R
sub-6047	M	R
sub-6048	M	L
sub-6049	F	R
sub-6050	F	R
sub-6051	M	R
sub-6052	M	R
sub-6053	F	R
sub-6054	M	R
sub-6055	F	R
sub-6056	M	L
sub-6057	M	R
sub-6058	F	L
sub-7001	M	L
sub-7002	M	R
sub-7003	F	L
sub-7004	F	R
sub-7005	M	L
sub-7006	M	R
sub-7007	F	R
sub-7008	M	R
sub-7009	F	R
sub-7010	F	R
sub-7011	F	R
sub-7012	F	R
sub-7013	F	L
sub-7014	F	R
sub-7015	M	R
sub-7016	F	R
sub-7017	F	R
sub-7018	F	R
sub-7019	M	R
sub-7020	F	R
sub-7021	F	R
sub-7022	M	R
sub-7023	M	R
sub-7024	M	R
sub-7025	M	R
sub-7026	F	R
sub-7027	F	R
sub-7028	F	R
sub-7029	F	R
sub-7030	F	R
sub-7031	M	L
sub-7032	F	R
sub-7033	M	R
sub-7034	F	R
sub-7035	F	R
sub-7036	F	R
sub-7037	F	R
sub-8001	F	R
sub-8002	F	R
sub-8003	F	R
sub-8004	M	L
sub-8005	M	R
sub-8006	F	L
sub-8007	F	R
sub-8008	M	R
sub-8009	F	R
sub-8010	F	R
sub-8011	F	R
sub-8012	M	R
sub-8013	F	R
sub-8014	F	R
sub-8015	F	R
sub-8016	M	R
sub-8017	F	R
sub-8018	F	R
sub-8019	M	R
sub-8020	F	R
sub-8021	F	R
sub-8022	M	R
sub-8023	M	R
sub-8024	M	R
sub-8025	M	R
sub-8026	M	R
sub-8027	F	R
sub-8028	F	R
sub-8029	F	R
sub-8030	F	R
sub-8031	F	R
sub-8032	M	R
sub-8033	M	R
sub-8034	F	R
sub-8035	M	L
