ID	Age	sex	handedness
MR_1013090_500c	41	M	R
MR_1034049_12a4	9	M	R
MR_1097782_3f0c	29	F	R
MR_1103722_1715	12	M	L
MR_1125244_17fe	13	F	R
MR_1143655_19bf	13	M	L
MR_1143655_1a05	13	M	L
MR_1150497_75ee	67	F	R
MR_1192435_5ee8	51	F	L
MR_1216620_3cfc	28	F	R
MR_1264721_41eb	31	F	R
MR_1271401_3492	22	F	R
MR_1285465_4097	30	F	n/a
MR_1288657_3170	20	M	R
MR_1292527_195c	14	M	R
MR_1309257_5710	46	M	R
MR_1322220_3a38	26	M	R
MR_1334556_376f	24	M	R
MR_1334913_17b1	13	M	R
MR_1339484_746a	67	M	L
MR_1351931_3fab	29	F	R
MR_1366839_7b3a	71	M	R
MR_1382333_3cb0	28	M	R
MR_1427581_3b35	27	F	R
MR_1438912_8008	75	M	R
MR_1445797_1a50	14	M	R
MR_1476437_35c5	23	M	R
MR_1494230_4400	32	F	R
MR_1508861_30e3	21	F	R
MR_1508861_358b	21	F	R
MR_1522653_4fdb	41	M	R
MR_1523112_43e6	33	F	R
MR_1525492_305c	19	M	R
MR_1534265_13de	11	F	R
MR_1591238_3ba9	26	M	R
MR_1601547_1140	8	F	R
MR_1616468_54cf	47	F	R
MR_1654606_4ec6	50	F	R
MR_1654606_5d57	50	F	R
MR_1709141_56cb	46	M	R
MR_1713513_8f14	85	F	R
MR_1734822_4370	32	F	R
MR_1742775_1ba0	16	F	R
MR_1742775_1c06	16	F	R
MR_1753435_1bac	16	F	R
MR_1757866_4f40	40	M	R
MR_1764982_611d	53	M	R
MR_1781836_1890	13	F	R
MR_1781836_18fa	13	F	R
MR_1793622_6c0f	60	M	R
MR_1834799_6207	54	M	R
MR_1875434_1104	8	F	R
MR_1898228_1b1a	15	M	R
MR_1903493_6faf	64	F	R
MR_1915832_618d	53	M	R
MR_1931386_58c5	47	F	R
MR_1933343_10d5	8	F	R
MR_1935851_51f7	43	M	R
MR_1940084_886b	81	M	R
MR_1943306_17ec	12	M	R
MR_1961098_32a5	21	F	R
MR_2005303_1b33	15	F	R
MR_2009256_6c04	60	F	R
MR_2021454_4ade	37	F	L
MR_2041109_1e37	17	F	R
MR_2071045_3726	24	M	R
MR_2113846_5421	44	M	R
MR_2132437_8438	78	F	R
MR_2136756_0fab	7	F	R
MR_2139745_4bd9	38	M	L
MR_2160826_63ee	55	M	R
MR_2166659_3e46	28	M	L
MR_2176073_4f4f	45	F	L
MR_2221971_4602	34	M	R
MR_2248813_35cb	22	M	L
MR_2258252_3733	24	F	L
MR_2286053_58bd	47	M	R
MR_2286816_3212	20	M	A
MR_2328270_6ebf	63	M	R
MR_2357976_6445	55	F	R
MR_2362594_83f0	77	F	R
MR_2403029_19aa	14	F	R
MR_2436415_56b4	46	M	R
MR_2457957_362e	23	F	R
MR_2465771_586e	47	F	R
MR_2475376_33cc	21	M	L
MR_2475376_43ad	21	M	L
MR_2479362_5ba9	49	F	R
MR_2483617_31e4	20	M	R
MR_2494762_1010	7	F	R
MR_2494762_112f	7	F	R
MR_2505567_3f9e	37	M	L
MR_2513310_8243	76	F	L
MR_2524225_5724	46	M	R
MR_2531270_2eae	18	M	R
MR_2541244_5224	43	M	L
MR_2589215_3450	21	M	R
MR_2631208_4a32	37	M	R
MR_2652676_1966	14	M	R
MR_2674565_0b0c	4	M	R
MR_2675807_52fd	43	M	R
MR_2678751_136b	10	F	R
MR_2731081_3439	21	M	R
MR_2784584_1a4d	15	M	R
MR_2788776_3192	20	F	R
MR_2799329_3fdf	30	M	R
MR_2842950_3b54	27	M	A
MR_2861923_4f24	41	M	R
MR_2864064_1da4	17	M	R
MR_2868630_18ae	14	M	L
MR_2868630_1a5c	14	M	L
MR_2882334_5225	43	M	R
MR_2915821_145e	10	F	R
MR_2915821_14e0	10	F	R
MR_2967284_7619	68	F	L
MR_2970212_13ba	10	F	R
MR_2986140_58fd	47	M	R
MR_3033715_6d00	61	F	R
MR_3070385_7e41	74	F	R
MR_3081896_1de2	17	M	R
MR_3094481_19f1	14	M	R
MR_3106263_36e1	23	M	R
MR_3166395_7879	69	F	R
