participant_id	age	sex
sub-CN001	18	F
sub-CN002	18	F
sub-CN003	22	F
sub-CN004	18	M
sub-CN005	18	F
sub-CN006	19	F
sub-CN007	20	F
sub-CN008	21	F
sub-CN009	20	M
sub-CN010	22	M
sub-CN011	20	M
sub-CN013	20	F
sub-CN014	19	M
sub-CN015	19	F
sub-CN016	18	F
sub-CN017	22	M
sub-CN018	21	M
sub-CN019	20	M
sub-CN020	21	M
sub-CN021	19	F
sub-CN022	20	F
sub-CN023	20	F
sub-CN024	19	F
sub-CN025	18	M
sub-CN026	20	M
sub-CN027	18	M
sub-CN028	24	M
sub-CN029	19	M
sub-CN030	19	M
sub-CN031	21	M
sub-CN032	21	M
sub-CN033	22	M
sub-CN034	18	F
sub-CN036	22	M
sub-CN037	22	M
sub-EN057	20	F
sub-EN058	22	M
sub-EN059	21	F
sub-EN061	25	F
sub-EN062	23	M
sub-EN063	22	M
sub-EN064	19	M
sub-EN065	21	F
sub-EN067	21	F
sub-EN068	19	M
sub-EN069	21	F
sub-EN070	20	F
sub-EN072	18	F
sub-EN073	19	F
sub-EN074	18	F
sub-EN075	18	M
sub-EN076	20	M
sub-EN077	22	M
sub-EN078	19	F
sub-EN079	21	F
sub-EN081	22	F
sub-EN082	28	F
sub-EN083	20	F
sub-EN084	28	F
sub-EN086	19	M
sub-EN087	22	M
sub-EN088	21	M
sub-EN089	33	M
sub-EN091	20	M
sub-EN092	21	M
sub-EN093	20	F
sub-EN094	21	F
sub-EN095	20	F
sub-EN096	18	F
sub-EN097	21	F
sub-EN098	24	F
sub-EN099	37	F
sub-EN100	19	F
sub-EN101	23	M
sub-EN103	18	F
sub-EN104	19	F
sub-EN105	19	F
sub-EN106	20	M
sub-EN108	18	M
sub-EN109	19	M
sub-EN110	21	F
sub-EN113	21	F
sub-EN114	20	M
sub-EN115	23	F
sub-FR001	40	M
sub-FR002	23	M
sub-FR003	26	F
sub-FR004	20	M
sub-FR005	23	F
sub-FR006	30	M
sub-FR007	20	M
sub-FR008	23	M
sub-FR009	18	F
sub-FR010	28	F
sub-FR011	26	F
sub-FR012	28	F
sub-FR013	23	F
sub-FR014	20	F
sub-FR015	23	F
sub-FR016	22	M
sub-FR017	24	M
sub-FR018	23	F
sub-FR019	25	F
sub-FR020	25	F
sub-FR022	20	F
sub-FR023	19	M
sub-FR024	20	M
sub-FR025	22	M
sub-FR026	32	F
sub-FR028	22	M
sub-FR029	30	F
sub-FR030	27	M
