participant_id	age	sex
sub-01	69	F
sub-02	74	F
sub-03	73	F
sub-04	74	F
sub-05	76	F
sub-06	79	F
sub-07	76	M
sub-08	25	F
sub-09	69	F
sub-10	68	F
sub-11	68	M
sub-12	21	F
sub-13	70	F
sub-14	68	F
sub-15	21	F
sub-16	30	M
sub-17	71	M
sub-18	20	M
sub-19	22	F
sub-20	29	M
sub-21	26	F
sub-22	22	F
sub-23	22	F
sub-24	20	F
sub-25	22	F
sub-26	21	F
sub-27	23	F
sub-28	20	F
sub-29	66	F
sub-30	65	F
sub-31	22	F
sub-32	67	F
sub-33	29	F
sub-34	67	F
sub-35	22	F
sub-36	21	F
sub-37	25	F
sub-38	19	F
sub-39	24	F
sub-40	24	M
sub-41	20	F
sub-42	21	F
sub-43	21	F
sub-44	68	F
sub-45	66	F
sub-46	19	F
sub-47	73	M
sub-48	71	M
sub-49	25	F
sub-50	77	F
sub-51	27	F
sub-52	70	F
sub-53	23	F
sub-54	21	M
sub-55	20	F
sub-56	68	F
sub-57	74	M
sub-58	23	F
sub-59	22	F
sub-60	81	F
sub-61	72	M
sub-62	25	F
sub-63	72	F
sub-64	21	F
sub-65	21	M
sub-66	20	F
sub-67	19	F
sub-68	21	M
sub-69	26	F
sub-70	23	M
sub-71	24	F
sub-72	19	F
sub-73	72	M
sub-74	24	F
sub-75	25	F
sub-76	70	F
sub-77	27	F
sub-78	77	F
