participant_id	age	sex
sub-001	22	f
sub-002	20	m
sub-003	n/a	f
sub-004	24	m
sub-005	n/a	m
sub-006	21	f
sub-007	45	m
sub-008	n/a	m
sub-009	19	m
sub-010	20	f
sub-011	20	f
sub-012	28	f
sub-013	21	f
sub-014	21	m
sub-015	20	m
sub-016	20	f
sub-017	24	m
sub-018	20	f
sub-019	22	m
sub-020	22	f
sub-021	18	f
sub-022	18	f
sub-023	28	f
sub-024	19	f
sub-025	25	m
sub-026	31	m
sub-027	24	f
sub-028	29	m
sub-029	18	m
sub-030	21	f
sub-031	29	f
sub-032	22	m
sub-033	18	m
sub-034	19	m
sub-035	21	f
sub-036	19	f
sub-037	21	m
sub-038	34	f
sub-039	31	f
sub-040	31	f
sub-041	22	m
sub-042	19	m
sub-043	18	f
sub-044	29	m
sub-045	24	f
sub-046	19	f
sub-047	26	f
sub-048	27	f
sub-049	27	f
sub-050	19	m
sub-051	21	f
sub-052	21	f
sub-053	19	m
sub-054	n/a	m
sub-055	28	f
sub-056	21	f
sub-057	18	f
sub-058	31	f
sub-059	18	m
sub-060	18	f
sub-061	23	f
sub-062	24	f
sub-063	19	m
sub-064	18	f
sub-065	25	f
sub-066	23	m
sub-067	20	f
sub-068	25	f
sub-069	21	f
sub-070	20	m
sub-071	22	m
sub-072	29	m
sub-073	20	m
sub-074	20	f
sub-075	21	f
sub-076	27	m
sub-077	22	m
sub-078	21	f
sub-079	19	m
sub-080	20	m
sub-081	21	m
sub-082	19	m
sub-083	21	f
sub-084	19	f
sub-085	21	f
sub-086	20	f
sub-087	19	f
sub-088	19	m
sub-089	22	m
sub-090	20	f
sub-091	21	m
sub-092	19	m
sub-093	20	f
sub-094	20	f
sub-095	22	m
sub-096	19	m
sub-097	19	m
sub-098	18	m
sub-099	18	f
sub-100	18	m
sub-101	22	m
sub-102	27	m
sub-103	19	f
sub-104	18	f
sub-105	22	f
sub-106	22	m
sub-107	19	f
sub-108	22	f
sub-109	33	m
sub-110	26	m
sub-111	19	m
sub-112	18	f
sub-113	19	f
sub-114	21	f
sub-115	23	f
sub-116	20	f
sub-117	18	m
sub-118	19	m
sub-119	21	m
sub-120	20	m
sub-121	19	f
sub-122	20	f
sub-123	19	f
sub-124	20	m
sub-125	19	f
sub-126	21	f
sub-127	32	f
sub-128	19	m
sub-129	20	m
sub-130	19	f
sub-131	23	m
sub-132	25	m
sub-133	19	f
sub-134	19	m
sub-135	18	m
sub-136	21	f
sub-137	21	f
sub-138	21	f
sub-139	20	m
sub-140	26	m
sub-141	20	m
sub-142	21	f
sub-143	23	m
sub-144	22	f
sub-145	27	m
sub-146	25	m
sub-147	22	m
sub-148	20	f
sub-149	47	m
sub-150	20	f
sub-151	25	m
sub-152	22	f
sub-153	21	f
sub-154	21	f
sub-155	26	f
sub-156	19	m
sub-157	19	m
sub-158	21	m
sub-159	21	m
