ID	Gender	age
01	M	21
02	M	26
03	F	19
04	M	29
05	F	19
06	M	21
07	M	21
08	M	33
09	M	21
10	M	23
11	M	22
12	M	29
13	M	21
14	M	30
15	M	27
16	M	21
17	M	30
18	M	25
19	M	22
20	F	27
21	F	28
22	M	28
23	M	27
24	F	25
25	F	24
26	F	20
27	F	23
28	F	20
29	F	23
30	F	31
31	F	20
32	M	31
33	F	29
34	M	33
35	F	26
36	F	35
37	F	23
38	F	31
39	M	21
40	F	24
41	F	19
42	F	23
43	F	23
44	F	23
45	M	38
46	F	35
47	F	19
48	M	24
49	F	23
50	F	24
51	F	24
52	M	34
53	F	25
54	F	22
55	M	21
56	F	22
